ablation;best_epoch_mean;best_epoch_std;best_epoch_min;best_epoch_max;val_mean_f1_mean;val_mean_f1_std;test_mean_f1_mean;test_mean_f1_std;test_mean_iou_mean;test_mean_iou_std;test_mean_iou_all_mean;test_mean_iou_all_std;test_f1_VT_mean;test_f1_VT_std;test_iou_VT_mean;test_iou_VT_std;test_f1_LP_mean;test_f1_LP_std;test_iou_LP_mean;test_iou_LP_std;test_f1_TR_mean;test_f1_TR_std;test_iou_TR_mean;test_iou_TR_std;test_f1_AV_mean;test_f1_AV_std;test_iou_AV_mean;test_iou_AV_std;test_f1_IC_mean;test_f1_IC_std;test_iou_IC_mean;test_iou_IC_std
musseg_pi_se_lsa_ba_dist_both_wskip;21,0;9,643650760992955;10,0;36,0;0,8966914590196833;0,004851496514331268;0,8888752041935898;0,008010796593265961;0,8027530310010678;0,012639325267408264;0,6843657477792859;0,010956690169280954;0,9359930839453747;0,004958170451452191;0,8797280472860426;0,008802177365624515;0,8607186445477604;0,014143334142960342;0,7557629096529608;0,02177420500190946;0,9308722665231711;0,00917490416470512;0,8708205083458718;0,01592290820002176;0,8238524600291596;0,014881984540513362;0,7007368338106477;0,0213314831156128;0,8929395659224828;0,009433078504737832;0,8067168559098166;0,015345009534807635
musseg_pi_se_lsa_ba_dist_attn_wskip;17,0;2,0;15,0;19,0;0,8884547672023151;0,0038028903237053435;0,8869207970830619;0,002241238461501316;0,7990639219226608;0,003072036226521746;0,6804268316783457;0,0027722616321111393;0,9305625287861876;0,0028817307812001314;0,8701556434350397;0,005039364365272303;0,854490566037736;0,004176100628930868;0,7459712877563959;0,006365160841734996;0,9257696198872669;0,006850700968348;0,86187374749499;0,011873747494989983;0,8328581927428669;0,01845376060990289;0,7140163195597514;0,027100431709284112;0,8909230779612521;0,0008975025136819248;0,8033026113671276;0,0014592933947772946
musseg_pi_se_lsa_ba_pbam;21,6;9,046546302318914;15,0;39,0;0,8931100563181245;0,00851080138530529;0,8862388005691164;0,009792392978211098;0,7987998863627965;0,014814831587486477;0,678606940989462;0,012907404111758662;0,9369049187884901;0,005221212823800709;0,8813447516366699;0,009260698052540312;0,8549311717005887;0,015710347828610933;0,746949742659204;0,024042130136328242;0,926696475089803;0,010715120889581722;0,8635913762768943;0,018590277285567492;0,8187417427818751;0,02595759704043015;0,693907490174867;0,03630211617920526;0,8939196944848256;0,0035911822922363714;0,8082060710663477;0,005882063237196478
musseg_pi_se_lsa_ba_depth_3_root_24;27,5;2,5;25,0;30,0;0,8912298904942704;0,0016164677128701621;0,8854933703837555;0,0015979818471149043;0,7972443624493972;0,0027489992961461374;0,6618878478651193;0,003130409253384925;0,9384413067552603;0,003225359911406489;0,8840394560664316;0,00572432346112739;0,8592398106328563;0,0024623170267181194;0,7532250308390307;0,0037843149553618005;0,9173219000288422;0,00030062343309750217;0,8472712750453304;0,0005129253400259493;0,8157135553607946;0,00023736488460412986;0,6887806910198662;0,00033847996458979956;0,8967502791410247;0,007290124899379413;0,812905359276327;0,01197943335040108
musseg_pi_se_ba_pbam;15,0;8,602325267042627;7,0;29,0;0,8864135798406748;0,008884686423061372;0,8853161023115224;0,0042139884335398725;0,7966781703685651;0,0068239132382632755;0,6685607049048046;0,011618050721540565;0,9382185238332694;0,0031821648540018067;0,8836436399991445;0,005632863876860248;0,8620069953339826;0,013766049963939842;0,7577395891343814;0,021456423381904507;0,9195220151155233;0,01024028599852008;0,8511990032384272;0,017555456457029613;0,8256353764143907;0,008495994650863797;0,7031372481488446;0,012256921088729243;0,8811976008604459;0,005649628015187443;0,7876713713220278;0,009030595233078519
musseg_pi_se_lsa_ba_wskip;27,5;9,233092656309694;20,0;43,0;0,8921307811079586;0,007222630987042339;0,8849360327699413;0,008198849259104697;0,7963077857006265;0,012877513984257731;0,6794381834371406;0,009842930377787953;0,9320938876019049;0,009131126737210183;0,872959945846526;0,0159210978657486;0,8529928754955171;0,009553112523620781;0,7437886308865511;0,014444008606634223;0,9223088738916301;0,01243693725986962;0,856065139713845;0,02130254284489189;0,8218256351594131;0,014449923084284746;0,697796872975813;0,02081377046786722;0,8954588917012412;0,012250272794669614;0,8109283390803976;0,01998328895268163
musseg_pi_se_lsa_ba_dist_emb_wskip;18,0;0,0;18,0;18,0;0,8985425539815747;0,0;0,8848295476416428;0,0;0,7960552330151737;0,0;0,6838206350574659;0,0;0,9397590361445782;0,0;0,8863636363636364;0,0;0,8479381443298968;0,0;0,7360178970917226;0,0;0,9168490153172867;0,0;0,8464646464646465;0,0;0,8250000000000001;0,0;0,7021276595744681;0,0;0,8946015424164524;0,0;0,8093023255813954;0,0
musseg_pi_se_lsa_ba_depth_4_root_24;37,0;0,0;37,0;37,0;0,8959593961254381;0,0;0,8845814725041006;0,0;0,7961123287195925;0,0;0,677039307774307;0,0;0,9459016393442623;0,0;0,8973561430793157;0,0;0,8320209973753281;0,0;0,7123595505617978;0,0;0,9035639412997905;0,0;0,8240917782026769;0,0;0,8295819935691319;0,0;0,7087912087912088;0,0;0,9118387909319899;0,0;0,8379629629629629;0,0
musseg_pi_se_lsa_ba_depth_4;8,0;0,0;8,0;8,0;0,8958649640687846;0,0;0,8844582583798435;0,0;0,795350981220991;0,0;0,6722259580443596;0,0;0,9379652605459057;0,0;0,883177570093458;0,0;0,851063829787234;0,0;0,7407407407407407;0,0;0,9137380191693291;0,0;0,8411764705882353;0,0;0,8231511254019293;0,0;0,6994535519125683;0,0;0,8963730569948187;0,0;0,812206572769953;0,0
musseg_pi_se_ba;29,8;20,468512403201167;10,0;67,0;0,8897880002993317;0,006636294372594608;0,8832758952229985;0,008919420796463948;0,794267167329304;0,013420231540627684;0,6647121171199306;0,008514193068839323;0,9403504585078528;0,004675017525621875;0,887453214112141;0,008327893468253751;0,8524093851421419;0,01691150635424983;0,7431557710813044;0,02538164210358716;0,9164833746470233;0,012636842165594145;0,8460920004151282;0,021476840351115332;0,8100382414249134;0,018752051853408537;0,6811386553343663;0,02617086063440065;0,8970980163930615;0,00815190624189068;0,8134961957035802;0,01331635626261611
